"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"4";"";"SEEED-LED_SMD-LED-CLEAR-BLUE(0603)LED_0603";"SEEED-LED_LED-0603";"ERR, PWR, TRG, Z_TRG";"304090045";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R6, R8, R16";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"1";"0.1uF";"CERAMIC-1NF-50V-10%-X7R(0402)CAP_0402";"CAPC1005X50";"C3";"302010005";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R15";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"3";"10K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R3, R5, R10";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"2";"1M";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R1, R4";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"2";"1uF";"SEEED-CAPACITOR_CERAMIC-10UF-25V-10%-X5R(0805)CAP_0603_GEN";"CAPC1609X80";"C1, C2";"302010178";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"220R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R9, R11";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"1";"3.3K";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R2";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"2";"330R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R12, R13";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"1";"470R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R14";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"1";"680R";"SMD-RES-0R-5%-1/16W(0402)";"R0402";"R7";"301010000";"";"";"";"";"";"RC0402JR-070RL";"";"";"";"";"";"0R";"";
"1";"ATMEGA48PA-MMHR28M1-L";"ATMEGA48PA-MMHR28M1-L";"28M1-L";"U1";"";"";"";"ATMEGA48PAMMHR";"";"";"";"";"";"";"";"";"";"Atmel";
"1";"BAV199";"BAV199";"SOT23";"D8";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CON-MOLEX-2P-1.27MM048";"CON-MOLEX-2P-1.27MM048";"53048-02";"PZ1";"CONNECTOR";"";"";"";"MOLEX";"";"53048-0210";"1012259";"57H4718";"";"";"";"";"";
"1";"CON-MOLEX-3P-1.25MM048";"CON-MOLEX-3P-1.25MM048";"53048-03";"J1";"CONNECTOR";"";"";"";"WALDOM/MOLEX";"";"53048-0310";"9732918";"38C9908";"";"";"";"";"";
"2";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_MOUNT-PAD-ROUND2.8";"HOLES_2,8-PAD";"H2, H3";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"L78L05ACU";"L78L05ACU";"SOT89";"U2";"5V Positive voltage regulator SMD SOT89 Package";"Unavailable";" Voltage regulator";" fixed";" 5V";" 0.1A";" SOT89";" SMD";" Package: reel, tape ";"";"STMicroelectronics";"L78L05ACU-TR";"";"";
"1";"LM358PWRDFN-8";"LM358PWRDFN-8";"SON50P200X200X60-9N";"U3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP6001T-I/OTSOT-23-5_MC-L";"MCP6001T-I/OTSOT-23-5_MC-L";"SOT-23-5_MC-L";"U4";"";"";"";"MCP6001TIOT";"";"";"";"";"";"";"";"";"";"Microchip";
"2";"TPTP06R";"TPTP06R";"TP06R";"INT, SS";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"TPTP13SQ";"TPTP13SQ";"TP13SQ";"+5V, 5V, GND, MISO, MOSI, RST, RST., RXD, SCK, SCL, SDA, TXD, ⏚";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";
