Qty,Value,Package,References,Description,MF,MPN,OC_DIGIKEY,OC_FARNELL,OC_NEWARK,SPICEPREFIX
7,0.1uF,TH,"C1, C2, C3, C4, C17, C18, C19","CAPACITOR, European symbol",,,2368-CML104M50-ND,,,C
3,100R,TH,"R10, R12, R17","RESISTOR, European symbol",,,RMCF0805JT100RCT-ND,,,R
6,10K,TH,"R5, R6, R9, R15, R16, R18","RESISTOR, European symbol",,,CR0805-JW-103ELFCT-ND,,,R
1,10nF,TH,C20,"CAPACITOR, European symbol",,,2368-CML103M50-ND,,,C
2,10uF,TH,"C21, C23","CAPACITOR, European symbol",,,478-7366-1-ND,,,C
5,1K,TH,"R1, R3, R4, R7, R11","RESISTOR, European symbol",,,RMCF0805JT1K00CT-ND,,,R
2,1M,TH,"R2, R8","RESISTOR, European symbol",,,CR0805-JW-105ELFCT-ND,,,R
2,1N4004,TH,"D1, D2",DIODE,,,,,,D
3,1uF,TH,"C16, C22, C24","CAPACITOR, European symbol",,,2368-CML105M50-ND,,,C
2,2K2,TH,"R13, R14","RESISTOR, European symbol",,,RMCF0805JT2K20CT-ND,,,R
1,3K3,TH,R20,"RESISTOR, European symbol",,,RMCF0805JT3K30CT-ND,,,R
1,4K7,TH,R19,"RESISTOR, European symbol",,,RMCF0805JT4K70CT-ND,,,R
1,ATMEGA328P,DIP28,U2,,,,ATMEGA328-PU-ND,,,U
2,C-GRID-02-70553,70553-02,"PT100, PZ-IN",CONNECTOR,MOLEX,,,unknown,unknown,
1,JST-2.54MM_3PX2JST-2.54MM_3PX2,Dupont_2x3_STR,ICSP,2.54mm Dupont Female header 3x2p 6-positions,,,,,,
1,JST-2.54MM_5P-2.54JST_2.54MM_5P_F,Dupont_1x5_RA,UART,2.54mm Dupont Female Header 1x5p 5-positions,,,,,,
1,LM2902N,DIL14,U1,Low power quad operational amplifier,,,,,,
1,PP-STANDALONE-HEADER,Dupont_2x6_RA,J1,2.54mm Dupont Male Header Right 2x6 12-positions,,,,,,
1,LED-3mm Green,SFH482,PWR,3mm LED,,,,,,
1,LED-3mm Blue,SFH482,TRIG,3mm LED,,,,,,
